Name,State,Notes,User,Tags,Created,Runtime,Sweep,Accuracy,Average Inference Time (ms),Dataset Name,GPU Memory Usage (MB),Max Swap Memory Usage (MB),Model Size (MB)
HuggingFaceTB/SmolLM-135M in piqa,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T11:28:03.000Z,33,,49.9,26.545468439102173,piqa,647.2568359,0,513.1340332
HuggingFaceTB/SmolLM-135M in boolq,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T11:27:25.000Z,33,,60.4,25.520173025131225,boolq,649.1259766,0,513.1340332
HuggingFaceTB/SmolLM-135M in social_i_qa,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T11:26:47.000Z,32,,32.800000000000004,25.49952621078491,social_i_qa,560.1181641,0,513.1340332
HuggingFaceTB/SmolLM-135M in allenai/ai2_arc,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T11:26:21.000Z,20,,24.210526315789473,26.532429233350253,allenai/ai2_arc,569.6826172,0,513.1340332
HuggingFaceTB/SmolLM-135M in openbookqa,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T11:25:56.000Z,18,,25.8,27.459217445373536,openbookqa,559.8696289,0,513.1340332
HuggingFaceTB/SmolLM-135M in winogrande,finished,-,,"HuggingFaceTB/SmolLM-135M, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T11:25:18.000Z,30,,49.7,23.72380364608765,winogrande,547.2519531,0,513.1340332
facebook/opt-125m in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-125m, piqa",2025-02-03T11:24:53.000Z,15,,49.4,8.979575794696808,piqa,626.6079102,0,477.75
facebook/opt-125m in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, boolq, facebook/opt-125m",2025-02-03T11:24:34.000Z,14,,43.4,7.691248646736145,boolq,628.7890625,0,477.75
facebook/opt-125m in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-125m, social_i_qa",2025-02-03T11:24:13.000Z,14,,33.7,7.776174056529999,social_i_qa,520.7836914,0,477.75
facebook/opt-125m in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, facebook/opt-125m",2025-02-03T11:23:59.000Z,10,,26.49122807017544,7.818182515261466,allenai/ai2_arc,533.7695313,0,477.75
facebook/opt-125m in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-125m, openbookqa",2025-02-03T11:23:44.000Z,9,,25.4,8.249479161262512,openbookqa,523.6987305,0,477.75
facebook/opt-125m in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-125m, winogrande",2025-02-03T11:23:23.000Z,13,,49.3,6.530721787929535,winogrande,506.2070313,0,477.75
MBZUAI/LaMini-GPT-124M in piqa,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T11:23:01.000Z,15,,50.8,9.019361275196076,piqa,593.652832,0,474.703125
MBZUAI/LaMini-GPT-124M in boolq,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T11:22:42.000Z,14,,62.4,7.7503406,boolq,595.7617188,0,474.703125
MBZUAI/LaMini-GPT-124M in social_i_qa,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T11:22:21.000Z,14,,33.1,7.767680011749268,social_i_qa,520.5107422,0,474.703125
MBZUAI/LaMini-GPT-124M in allenai/ai2_arc,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T11:22:07.000Z,10,,24.912280701754387,9.225314798689723,allenai/ai2_arc,530.1152344,0,474.703125
MBZUAI/LaMini-GPT-124M in openbookqa,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T11:21:52.000Z,9,,24,8.410103792190553,openbookqa,522.6533203,0,474.703125
MBZUAI/LaMini-GPT-124M in winogrande,finished,-,,"MBZUAI/LaMini-GPT-124M, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T11:21:31.000Z,13,,50.7,7.593006102561951,winogrande,509.8095703,0,474.703125
cerebras/Cerebras-GPT-111M in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-111M, piqa",2025-02-03T11:21:09.000Z,13,,49.2,7.388533715248108,piqa,618.6074219,0,423.6240234
cerebras/Cerebras-GPT-111M in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, boolq, cerebras/Cerebras-GPT-111M",2025-02-03T11:20:52.000Z,13,,38,6.210408448696136,boolq,621.6826172,0,423.6240234
cerebras/Cerebras-GPT-111M in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-111M, social_i_qa",2025-02-03T11:20:31.000Z,11,,33.7,5.159530498981476,social_i_qa,521.4331055,0,423.6240234
cerebras/Cerebras-GPT-111M in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, cerebras/Cerebras-GPT-111M",2025-02-03T11:20:16.000Z,9,,26.49122807017544,6.586705695537098,allenai/ai2_arc,531.0380859,0,423.6240234
cerebras/Cerebras-GPT-111M in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-111M, openbookqa",2025-02-03T11:19:59.000Z,9,,25,7.928387521,openbookqa,523.5751953,0,423.6240234
cerebras/Cerebras-GPT-111M in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, cerebras/Cerebras-GPT-111M, winogrande",2025-02-03T11:19:37.000Z,12,,49.3,6.371424250125885,winogrande,497.1484375,0,423.6240234
google/flan-t5-base in piqa,failed,-,,"Orin, google/flan-t5-base, piqa",2025-02-03T06:44:23.000Z,4,,,,,,,
MBZUAI/LaMini-GPT-774M in piqa,crashed,-,,"MBZUAI/LaMini-GPT-774M, Orin, piqa",2025-02-03T06:42:37.000Z,46,,,,,,,
cerebras/Cerebras-GPT-590M in piqa,finished,-,,"Orin, cerebras/Cerebras-GPT-590M, piqa",2025-02-03T06:34:52.000Z,302,,49.2,279.48952098846434,piqa,2607.568359,,2251.857422
bigscience/bloomz-560m in piqa,finished,-,,"Orin, bigscience/bloomz-560m, piqa",2025-02-03T06:25:42.000Z,402,,50.6,257.5186014099121,piqa,2777.777344,,2133.234375
bigscience/bloom-560m in piqa,crashed,-,,"Orin, bigscience/bloom-560m, piqa",2025-02-03T06:23:13.000Z,50,,,,,,,
h2oai/h20-danube3-500m-base in piqa,failed,-,,"Orin, h2oai/h20-danube3-500m-base, piqa",2025-02-03T06:21:40.000Z,3,,,,,,,
Qwen/Qwen2.5-0.5B in piqa,finished,-,,"Orin, Qwen/Qwen2.5-0.5B, piqa",2025-02-03T06:15:00.000Z,305,,59.5,213.5793806,piqa,2199.054688,,1884.585449
Qwen/Qwen1.5-0.5B in piqa,crashed,-,,"Orin, Qwen/Qwen1.5-0.5B, piqa",2025-02-03T06:10:00.000Z,151,,,,,,,
mllmTeam/PhoneLM-0.5B in piqa,failed,-,,"Orin, mllmTeam/PhoneLM-0.5B, piqa",2025-02-03T06:08:32.000Z,6,,,,,,,
ahxt/LiteLlama-460M-1T in piqa,finished,-,,"Orin, ahxt/LiteLlama-460M-1T, piqa",2025-02-03T06:03:57.000Z,198,,49.3,181.29730604553225,piqa,1879.163086,,1761.191406
EleutherAI/pythia-410m in piqa,finished,-,,"EleutherAI/pythia-410m, Orin, piqa",2025-02-03T05:58:57.000Z,168,,49.2,153.3653235321045,piqa,1940.066895,,1546.226563
facebook/opt-350m in piqa,finished,-,,"Orin, facebook/opt-350m, piqa",2025-02-03T05:54:33.000Z,163,,49.9,148.2698412017822,piqa,1464.125488,,1263.414063
